player_name,role,team,credits,lineup_order,predicted_score,Captain,Vice Captain
Josh Hazlewood,BOWL,RCB,8.5,10,9.384292523574128,True,False
Ishant Sharma,BOWL,GT,7.0,11,8.243127556329867,False,True
Bhuvneshwar Kumar,BOWL,RCB,8.0,9,8.233813200818645,False,False
Arshad Khan,AR,GT,6.0,6,8.222719764487014,False,False
Krunal Pandya,AR,RCB,7.5,8,7.921342723723069,False,False
Rahul Tewatia,AR,GT,7.0,5,7.6876914308699895,False,False
Jitesh Sharma,BAT,RCB,7.5,6,7.467769110998832,False,False
Rajat Patidar,BAT,RCB,8.0,4,7.264992745225635,False,False
Virat Kohli,BAT,RCB,9.0,1,7.013898371908853,False,False
Shubman Gill,BAT,GT,9.0,1,7.013210632371057,False,False
Philip Salt,WK,RCB,8.5,2,5.0651729299932144,False,False
